labels,text
__label__2,"Rose Dawson Malaysia: All must buy the album of Let's talk about love because it is very interesting.For your all information , I'd already heard the song of My heart will go on for 566 times.Believe me !!"
__label__2,"a precious resource for Christian contemplation: This book is the best one on Christian contemplation I've ever read. It is a perennial source of insight into God's love, without soft-pedalling the frightening consequences of sin. I hope to find it in print again, and will buy several copies right away for friends. Too bad about the price-gouging going on now: it's a wonderful part of any Catholic library but wait 'til there are enough used copies out there for the price to drop below the outrageous $250 or more for a copy requested by certain used booksellers. I bought mine for $31.50 two years ago,new. Hope that Loreto comes through in Jan 2006."
__label__1,"Rename it to ""RedSox, Yankees and Giants"": I've always trusted Ken Burns to make a good, fair documentary. Now I have to wonder if I was mislead on those other documentaries as well. I wasn't around for most of those times. I took his word for it. If his work was as slanted and narrow-focused as this work, then I probably was mislead. I remember the last 20 years of baseball and he blew it. Excruciating detail of every Boston-Yankees game and complete omission of other important baseball events. How do you talk about baseball in the last 10 years and not even mention Albert Pujols--ridiculous. But then again--that pretty much covers this piece of work."
__label__1,"Boring!: This game is based on a great concept but it falls short. The graphics are really bad and you have few control options. Pass up this game and save your cash for Roller Coaster Tycoon, Sim Golf, Space Colony or some other reputable, enjoyable game."
__label__1,"Lost in the 70's: The Eurovision song contest has come up with some good songs, but few are here. The song everyone knows ""Waterloo"" is on this album. I would say about 80% of the songs are from 1970's era. If you like that 1970's folk sound then you might like this album. The album does come with the list of countries the song comes from and how they ranked in the competition. There are a couple of winners in the bunch. My advice if you do not like the forienge folksy type of music then try another album."
__label__1,Joan Hart's acting drives me crazy: Melissa Joan Hart should have stuck with being a teenage witch. This was a pile of donkey doo doo. The most annoying thing about the whole movie was she and Britney remaking the song and her prancing around in that waitress outfit. The guy in the movie is UGLY. There is no helping an ugly man. And Melissa needs a makeover herself. I don't know why I am pondering so much over this film because it is literally ridiculous and worthless. Maybe that is why it is entitled Drive Me Crazy!!
__label__2,"A Very Funny Document: Vertiginous Falls Descend through Vast Frigid Domains! Vicious Flies Dart! Villainous Felons Destroy Valuable Fortress! Don't vacillate from despair, though! Various friends drop by, Violet fabricates devices, Klaus's vocabulary fathoms dilemmas, and as for Sonny: View Fine Dentition! In fact, the whole valorous family dexterously vanquishes foul designs.So, does the story come out all right in the end? Vexed. Foggy. Doubtful...This volume provides all the lugubrious fun that all the others do. And the words Volunteer Fire Department are spoken out loud, if I recall correctly, for the first time. (Darn. I felt sure that's what VFD was going to stand for - but now they've trotted it out three whole books of unfortunate events from the end, I must have been wrong. But whatever the mysterious answer turns out to be, I know our young heroes will face it with Virtue, Firmness, and Dignity.)"
__label__1,"Do Not Buy These Videos!: I thought the intro package was great, but it went downhill from there. The intro package has a long and short workout. The rest of the videos have only the long workout. In total I have 5 of these videos. They do mix it up with some dance moves, but many, many of the the moves are march-in-place- repetitive. DanceSport LLC customer service is TERRIBLE! It took them 3 tries to get my address corrected. I sent back a duplicate product but they never did give me credit for it. Kept me on hold for up to 30 minutes at a time too when I had to call; and I had to call at least 8 times!"
__label__1,"Will be great later: I bought these diapers for my 2 month old after reading great reviews. The infant size is listed for 10-22 pounds, which is quite a range in weight. My daughter currently weighs 13 pounds and these diapers are just enormous on her. I pulled them up as high as they would go (nearly to her armpits) and the leg holes were still gaping around her thighs.I do think these will be fabulous once she is a little bigger."
__label__2,"tells you the hows and whys throughout different times and cultures: love this book! want to know why one should eat something? you will find it in multiple places from multiple sources. the recipes, too, are working for my family. nothing like raw yogurt! can't wait to get into the other more off-beat recipes like beet kvass!"
__label__1,"Please, please finish!: I have struggled through this book only because of stubborness and determination. It goes nowhere, addresses nothing, has no action and resolves nothing! For slow reading and lack of interest, I would definitely rate it a 5.I will wait for the reviews before I buy another book in this series. Perhaps it would be best to save your money and not buy Crossroads. Just skip to Book 11 (assuming that it is somewhat better)."
__label__2,"James Bond 007: Nightfire: This in its own right is the first game that truly gives the true bond expierence. I enjoyed it more than every James Bond game exept for Goldeneye. Every Bond game has lived in its shadow and so does Nightfire, but not as much as the rest of the bond titles. Goldeneye is the best bond in my opinion, but doesn't give the best impression of the charismatic James Bond himself. This game is more like a James Bond movie than a game and really develops every character and shows the side of James Bond as much as a movie does.Nightfire is about a Japanese based company that hopes in changing world government in favor for one government thatcontrols the planet with an arsenal of nuclear weapons and 007 of MI6 is the last hope for the world. The graphics are a ten out of ten. Pierce Brosnan looks almost real and the voice overs are really good. This is a very realistic first person shooter that no Gamecube owner should be without."
__label__1,"musical score: I really enjoyed the film so was looking forward to the music score. It was a bit disappointing, because it contained dialogue also."
__label__1,"Disappointing: I've read other Maeve Binchy books (""Scarlet Feather"" and ""Evening Class"" were my favorites) and found them very enjoyable. This one started out good but gradually deteriorated. It just didn't have any direction and really fizzled out at the end. In my opinion it was really disappointing."
__label__2,"BLAZING!!!: Wow! This horn driven band has really done it with this new release. When I put it in the player, it practically melted. Their music found its way into my bloodstream...an addicting, infectious groove to say the least. Do yourself a favor...check out the sound samples online...you'll be convinced....Foxtrot is for real."
__label__2,"Enjoyed every page!: Buy this book NOW--because if you don't, you'll forget about it and miss out on one of the great humorists of our time. After you read this book, you'll want to call up Sheri and ask her to be best friends. She's likeable and funny in a not-obvious-humor sort of way. She's got true wit, and she dishes it out chapter after chapter. Each of us has a laugh-out-loud synapse in our brains, and Sheri hits it again and again. But most importantly, when I turned the last page, I felt I had become a little more laid back. Sheri makes you realize that the things we think are super-important really aren't as super-important as we think they are."
__label__1,"alright already: I did not finish 'White Noise'. After about 60 or 100 pages I began hearing a little voice saying, ""I think I get it"". But hammering away at a not very complex point is only one of the book's annoying faults. The book makes the point that there's a lot of useless information that can take up space in our minds over and over and over. All the characters, incidentally, had virtually the same voice; the 14 year old used the same cadence and vocabulary as the college professor. The book seems to be targeted toward mental masochists that enjoy or are, perhaps, proud of the 'head-full-of-crap' condition. In this way the book is a condemnation of a certain kind of liberal arts education. If the condemnation is unintentional then I feel sorry for the author and the reader. If it is intentional - alright, already."
__label__2,"A Masterpiece in the Tom Wolfe Fashion: This book which appeared twelve years after ""The Bonfire of the Vanities"" takes up a similar story and shows that Tom Wolfe has not lost the plot as is the case with some other writers. In this book, the struggle and the decline of a self-made entrepreneur Charlie Croker is told in the Tom Wolfe style. He is great in producing strong novels with all life size characters. As always, one comes across some of the funniest and wisdom-packed writing in the English language."
__label__2,measurements varied: very useful for measurements variedI would like to replace the retaining ring by a rivet system as in kits for identifying gauges using each teaspoon
__label__2,"A childrens book that is a poetic feast for all ages.: Pass It On is a beautiful picture book of some of BlackAmerica's best poems for children. Here the reader will find examplesof the wonderful works of Langston Hughes, Nikki Giovanni, Countee Cullen, and about thirteen others. From the Harlem Rennaisance to the present day lovely thought-provoking poems are presented to the American child. The illustrations are muted but descriptive renderings that are melded together to present a picture of black life at its best."
__label__2,"At last, a book for the hobbyiest and professional: I found this book a real pleasure. Most woodworking books are written for the novice woodworker or the highly experienced. This book provides both simple and harder projects for the woodworker at both ends of the spectrum.The step by step pictures and explainations are such that a I had no problems in completing most of the projects. I have been selling these items with great success at the better Arts & Crafts shows as the items are truly unique and beautiful."
__label__1,"different: my customer buys this product and he say's this product doesn't work, i have mailed it back yesterday can you check the problem please because, it is not working. and i have ordered the same product. because my customers are important for me. so i have returned it, can i get my money back. so i can pay up."
__label__2,motion sprinkler: It seems to work OK but it is not constructed very well so I do not think it will last long. It would also be nice if you could adjust how long it runs when activated.
__label__1,Welcome to Fred: This book started out slow and continued slow and elementary for me. I read over halp of it and could never get in to it.
__label__2,"Great read: This is a nice book, I am only a few chapters in and have learned a lot about Arnold. Lots of questions answered, not surprising anymore why he was so successful."
__label__2,"Does Rogaine work: I have been using it for 6 months. Rogaine does work, but you must be patient and use it twice each day as directed by the instructions. I may not like the routine of applying it each morning and each evening, but if I want to keep a full head of hair, this is what I must do."
__label__1,Not what I expected: I was under the impression this was an all natural water-based lubricant with no glycerin as stated on an external site other than ecom. Sadly I was mistaken. There is glycerin and other not so vaginal friendly ingredients.
__label__2,"Absolutely MASTERFUL!: As with all Kurosawa I have seen, this film takes my breath away!An absolute MASTERPIECE. . . Also an absolute theft of Shakespeare's King Lear, but I assure you you will enjoy every second!"
__label__1,"Unwatchable: If you are interested in listening to professors talk in circles, then ultimately admit that quantum physics is impossible to explain, then this movie is for you. ""How far down the rabbit hole do you want to go?"" one of them says. Was he really quoting Alice in Wonderland?Let me sum it up for you: Thinking positively about a memory, event, or the future is better than thinking about it negatively. Wow, what a mind blowing concept. I think I learned that when I was 12 yrs old.Now can I go up to Rantha's camp in Washington and get locked in the place? I'd be happy to sign her contract not allowing me to leave the facility, use electricity, etc. I think I'll sit under the $100,000 chandeliers in the horse stables and ponder if reality is real."
__label__2,"Relief for my dogs!: I didn't really buy these for the shedding benefits. I was mostly looking for an omega supplement for my dog that was chewable, and not in a gel capsule. My dog had a slipped disc and was in constant pain. My vet said omega 3 can help with arthritis so I decided to get these. My dog also had itchy skin, and was constantly scratching, so I thought this would help with that too.I was pretty astounded when my dog's arthritis went away pretty quickly, within days. Also, my dog no longer scratches as frequently, and her fur is very silky now. I noticed the difference in her skin and fur rather quickly as well. I was pleasantly surprised since supplements can take a while to become effective. I would definitely not go without these anymore! This product has definitely provided much needed relief to my dog. Also, my dog likes the flavor too, unlike other omega supplements."
__label__2,"I liked it!: Comic book fans, check this one out, Jennifer Garner fans, check this one out, you'll appreciate a few scenes that show off her physique in the super-hero costume. the storyline on this one was solid and had good development. I heard some pretty bad things about this one and am not really sure why. I liked it and thought it was a decent movie and I plan to keep it in my collection."
__label__1,"Not worth the money: Paul Doherty was a much better writer before he started churning out book after book at maximum speed. ""The Horus Killings"" has irritating, ill-defined characters; a weak plot; and no real sense of historical grounding. I can't speak for the accuracy of the history behind this book, but Doherty certainly can't bring Ancient Egypt to life the way he can medieval England.So read some of the early Hugh Corbett novels instead, if you want a more accomplished and interesting book by Doherty."
__label__2,"Of course it has a huge Zeppelin vibe: The bands name and the person who started this project is John Bonham's son, his legacy for gods sake. The music is great and it does have originality. Why would you insult that, or that he was trying to get rich and steal his father's style. He grew up with it and it is in his viens. I feel John would be proud. I love ""Wait for You"" and know many others who do as well. And let's not forget to give credit to the rest of the band and Daniels vocals are spot on. Good for them. So stop trying to say thety are Zeppelin rip offs, just intensely influenced. And of course they would be. Hence the name BONHAM!!!Alicia from Connecticut, USA"
__label__2,"Cupid and Diana: Cupid and Diana by Christina Bartolomeo was a fast fun read. It is about Diana, a lapsed Catholic middle child who is trying to carve out a niche of her own. She has recently quit a secure job to open a consignment shop, found lust with a man other than her fiancé and maybe love and is in the process cutting some painful family habits. It was a fun read with engaging, likeable characters and a great love story. I can definitely recommend this as a relaxing Sunday read. It is worth the price as a trade size paperback but not necessarily in hardcover."
__label__1,"There are much better beginner's books available now.: This is an old outdated book. It is slightly better than some of the original beginner's books by Laskey, Smith, and others. There a far better books available. Janice Kim's ""Learn to Play Go"" is an excellent example. Please note that I have the greatest respect for Iwamoto. His book was the best English language beginner's book when it first appeared."
__label__2,FANTASTIC !!!!!!: This is the MOST wonderful uplifting music I have ever heard !! Whenever I am down ~ this lifts me up and I can feel the spirit of the Lord !! AMEN !!
__label__1,"Would love to comment on the quality...: ...however, when I opened the package, there was no DVD-A disc in the case! You have no idea how disappointed I was. I shipped the empty case back to ecom today (along with the packaging, which didn't look original) - $4.00 out of my own pocket. Oh, and the booklet inside was bent/scuffed. This DEFINITELY didn't look like a new product to begin with.FOR SHAME... I shouldn't have to pay to return an item that I never received in the first place. I will amend the review when I receive the actual product, and after I see how ecom handles this whole situation. Not looking good so far.FWIW, DVD-A cases do not fit in the different CD-size mailing envelopes from UPS or USPS. I had to step up to a larger size, and of course, pay more."
__label__2,"Works for me...: Can't speak to the science behind it but truth is; it seems to work for me. If you have muscle pain or maybe bruising it might be worth a try for you. Notes: It doesn't heat up or sting or even get cold it just goes on like lotion (no smell/odor) but seems to over time work. I usually use it for several days after a sprain in my wrist or getting some level of bruising and it gets better and is less painful. Bottom line, I don't have any research I was just given some once to try and it seemed to help. Can't take Advil all the time so worth a shot was my thought."
